,id,position,average_speed,total_laps,time,points,status,rider.id,rider.full_name,rider.country.iso,rider.country.name,rider.country.region_iso,rider.legacy_id,rider.number,team.id,team.name,team.legacy_id,team.season.id,team.season.year,team.season.current,constructor.id,constructor.name,constructor.legacy_id,gap.first,gap.lap
0,c54df132-c0d4-44b0-8a18-b80c383ce976,1.0,163.6,25,41:44.5030,25,INSTND,1abd2de7-9046-4d0a-88e3-ad801dcc235b,Miguel Oliveira,PT,Portugal,,7199,88,a4e65cf0-a69c-4f97-8781-1864b0826b19,Red Bull KTM Factory Racing,89,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,0.000,0
1,768e9f71-824a-4881-9bc0-58b1cf2e9db0,2.0,163.6,25,41:45.2330,20,INSTND,6e940243-5167-4cc3-a343-a74337369b94,Jack Miller,AU,Australia,,8049,43,4e10b734-1e8f-418f-a2d7-7178d2887366,Ducati Lenovo Team,80,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,0.730,0
2,61baf525-a9c0-40b4-a468-0cb1f6f4fa0b,3.0,163.5,25,41:46.4710,16,INSTND,9cb55304-0ac1-401c-beb6-1a4f445018a4,Francesco Bagnaia,IT,Italy,,8273,63,d33c45c6-ea01-4dde-85df-4e43f527a00e,Ducati Lenovo Team,84,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,1.968,0
3,93e083ff-aca9-41fd-bcda-e5d0658f235f,4.0,163.4,25,41:46.9930,13,INSTND,487440af-cfa9-478a-903b-4e893ee18d3a,Johann Zarco,FR,France,,7236,5,e37b36d6-3701-49cf-961f-7734b190d57f,Prima Pramac Racing,62,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,2.490,0
4,5ddddc36-859d-4281-a3aa-2c20dda5b833,5.0,163.4,25,41:47.4610,11,INSTND,f55b433d-38b8-4d1d-bb3a-a709c82a0260,Marc Marquez,ES,Spain,,7444,93,88b9574b-8a62-4099-87c2-0c8c410d52c0,Repsol Honda Team,91,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,2.958,0
5,e66c329f-9cbd-40b1-82a1-f50c5c29a728,6.0,162.7,25,41:57.7600,10,INSTND,ff225c9d-64a2-43ac-a70e-62cf385a85a1,Enea Bastianini,IT,Italy,,8295,23,a86166df-d247-4c80-a6eb-2a338e3475c7,Gresini Racing MotoGP,68,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,13.257,0
6,8e5a8bc4-12fc-49ec-9923-182af1e2d265,7.0,162.7,25,41:59.0690,9,INSTND,66ee98b2-239c-487f-8913-aab8493ce280,Maverick Viñales,ES,Spain,,7409,12,1e642629-5531-44fd-a271-798d740c00fb,Aprilia Racing,65,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,10d5e2bc-4b0b-4875-b936-3962fbb1b877,Aprilia,7,14.566,0
7,653573a1-1cc3-4a2d-84ae-78cac0cb5230,8.0,162.6,25,41:59.3640,8,INSTND,e7e4c72e-952e-4f64-8e8a-a47ff590fade,Alex Marquez,ES,Spain,,8173,73,14841302-a4a0-41bc-9071-618d19d0196d,LCR Honda CASTROL,86,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,14.861,0
8,5fbce2b9-e69e-42b6-bb19-8aceb9acd894,9.0,162.6,25,41:59.8680,7,INSTND,5cbd7eb6-ccfc-4b9f-aad1-ede25d394f7b,Jorge Martin,ES,Spain,,8146,89,8e4e557e-b895-447e-bae5-4252ec2ac108,Prima Pramac Racing,90,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,15.365,0
9,e580d195-edd2-4f2c-97f4-9b558b51229c,10.0,162.4,25,42:02.6000,6,INSTND,ba579548-f026-402b-a607-38db5317d33f,Brad Binder,ZA,South Africa,,7646,33,06be669d-467c-4ca4-885d-27c22ccdcc49,Red Bull KTM Factory Racing,74,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,18.097,0
10,f6962766-a785-43c7-b520-7a297c27898e,11.0,162.4,25,42:03.5440,5,INSTND,4cff2dfb-2feb-4264-9a17-8a67189c204c,Aleix Espargaro,ES,Spain,,6854,41,e118eac7-8c41-4667-bb45-1a5d4b8341bc,Aprilia Racing,78,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,10d5e2bc-4b0b-4875-b936-3962fbb1b877,Aprilia,7,19.041,0
11,c926cf40-504e-408a-8ca0-404cf4afdfaa,12.0,162.3,25,42:04.1620,4,INSTND,56475aa3-f3d1-485a-b6db-ca1149e1b6fa,Alex Rins,ES,Spain,,8150,42,fe3e1100-ed6c-4da1-894d-feb381413d07,Team SUZUKI ECSTAR,79,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,e1824280-b485-4f63-b176-834bbf47aa1c,Suzuki,2,19.659,0
12,dab5fa0b-f1b8-4ad8-a75a-d5d03c3b14e7,13.0,162.3,25,42:06.9420,3,INSTND,a73f8ef2-784f-4f52-8511-1d315fd3a459,Franco Morbidelli,IT,Italy,,7741,21,3da296f9-fa91-4d4f-8e8f-6298b1a9627c,Monster Energy Yamaha MotoGP,67,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,22.439,0
13,9ca9e3e6-bdd7-48eb-b585-48595ca36e4e,14.0,162.1,25,42:08.1490,2,INSTND,40c19361-abe5-46e8-bed9-b3fa648dd7ac,Pol Espargaro,ES,Spain,,7086,44,9c7b0420-682f-41dd-8176-84f8f6510720,Repsol Honda Team,81,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,23.646,0
14,0d73c595-6393-4058-9fab-a87f50b03175,15.0,161.6,25,42:14.9860,1,INSTND,58448742-f520-466a-a1a1-bf3286cce9c3,Raul Fernandez,ES,Spain,,8269,25,d802c7e6-2e9a-47b6-855c-923458904d02,Tech3 KTM Factory Racing,69,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,30.483,0
15,430bd82c-59f9-490a-8bf1-f972c07225aa,16.0,161.4,25,42:17.9690,0,INSTND,ab06dbae-7d6e-47c3-b63f-b7ac6b7d3bcd,Marco Bezzecchi,IT,Italy,,8688,72,6ddef163-59fe-4f82-90e8-e12bbd981c54,Mooney VR46 Racing Team,85,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,33.466,0
16,ddcf518f-9931-41de-a6b5-ba6058a49c23,17.0,161.4,25,42:18.5750,0,INSTND,fcdd5500-a769-4ff4-8b9e-080d1849ff42,Fabio Quartararo,FR,France,,8520,20,841f623b-8c22-4885-b81f-f752923ab9ad,Monster Energy Yamaha MotoGP,66,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,34.072,0
17,fa19e7ae-b2d6-4428-ad32-5ecb612723c4,18.0,161.3,25,42:20.7060,0,INSTND,6c33de41-f014-4f17-8dc9-e6f36e61026a,Fabio Di Giannantonio,IT,Italy,,8539,49,44ddcab2-bd6e-4893-9976-cf382cfc9116,Gresini Racing MotoGP,82,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,36.203,0
18,d80e2879-5cec-4008-b55f-8fff2efd6a84,19.0,161.2,25,42:21.0350,0,INSTND,c2e99a2c-ec5b-4757-8728-ed3254ebbeee,Cal Crutchlow,GB,United Kingdom of Great Britain and Northern Ireland,,8010,35,aa28f17e-a72d-42a2-8772-57f50dc95a3c,WithU Yamaha RNF MotoGP Team,296,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,36.532,0
19,2c6f1ce4-53ff-40f5-bcd3-beae0103becf,20.0,160.9,25,42:27.0110,0,INSTND,09a9727b-25d7-4b4a-937b-df5ffc6ee06a,Danilo Petrucci,IT,Italy,,8148,9,e2c1ded7-1280-4096-a2fb-cae4e837ebf1,Team SUZUKI ECSTAR,76,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,e1824280-b485-4f63-b176-834bbf47aa1c,Suzuki,2,42.508,0
20,6f5963c7-d324-40bd-9596-fa4c2ef14370,21.0,160.4,25,42:34.4950,0,INSTND,e38443a0-a5f5-4616-825c-9db2adc24a55,Darryn Binder,ZA,South Africa,,8296,40,52eae362-5ebb-4400-8c03-942da97e617c,WithU Yamaha RNF MotoGP Team,77,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,49.992,0
21,5cb0cdd5-6509-4408-ba26-6c9703a51693,22.0,160.3,25,42:35.8490,0,INSTND,0021f749-65ab-4866-9c0b-6e4a314fd821,Tetsuta Nagashima,JP,Japan,,8443,45,f40f6cc8-a4c3-44e4-a2e8-3e93d9a64f8c,LCR Honda IDEMITSU,72,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,51.346,0
22,b088c9f7-50cb-4b9b-a756-b2228f6f1f4a,23.0,147.4,23,42:37.6850,0,INSTND,7b0687b0-90bd-4ad6-b157-8c66fb8a93cf,Luca Marini,IT,Italy,,8431,10,3bda0b31-3129-416d-ab70-1ae76e22b8d5,Mooney VR46 Racing Team,64,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,0.000,2
23,79338aaf-80fb-4f57-b5b2-bef62550855d,,160.9,11,18:40.5960,0,OUTSTND,09bd7ecd-ee3f-4e20-8efa-c200f724c642,Remy Gardner,AU,Australia,,8513,87,d83ab410-4c8e-479b-97fb-40686536c278,Tech3 KTM Factory Racing,88,db8dc197-c7b2-4c1b-b3a4-6dc534c014ef,2022,True,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,0.000,14
